QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Failure;396;;83;1;SP;1;0,001451012;0,005698601;1,026906426;0,336682176;Oilseed;0;0;XS;Other
Success;397;199;43;0;SP;1;0,013369167;0,24288004;0,87161534;0,710309743;Rendering;1;1;DE;DE
Success;398;200;43;1;SP;1;0,013369167;0,24288004;0,817309003;0,424832431;Rendering;1;1;DE;DE
Success;399;;84;196;SP;1;0,00774271;0,015798616;0,896047297;0,91918956;Oilseed;1;1;CZ;Other
Failure;400;;84;196;SP;1;0,00774271;0,015798616;0,790646958;0,745019641;Oilseed;1;1;CZ;Other
Success;401;201;84;0;SP;1;0,00774271;0,015798616;1,093315957;0,305162479;Oilseed;1;1;CZ;Other
Success;402;;84;92;SP;1;0,00774271;0,015798616;1,058382406;0,328203779;Oilseed;1;1;CZ;Other
Success;403;;85;1;SV;1;0,002306495;0,24288004;1,144355433;0,315153187;Rendering;0;0;DE;DE
Failure;404;;71;1;SP;2;0,023541794;0,149340658;0,845575848;0,99341142;Rendering;1;1;FR;FR
Failure;405;;86;36;SP;1;0;0,016697353;0,975023218;0,265487589;Oilseed;0;0;KZ;Other
Failure;406;;86;72;SP;1;0;0,016697353;0,837274957;0,305699533;Oilseed;0;0;KZ;Other
Success;407;202;80;0;SP;1;0,004519341;0,09008607;0,979940429;0,413413676;Rendering;1;1;PL;PL
Success;408;203;80;0;SP;1;0,004519341;0,09008607;0,995599379;0,878571429;Rendering;1;1;PL;PL
Failure;409;;80;1;SP;1;0,004519341;0,09008607;0,995599379;0,873402793;Rendering;1;1;PL;PL
Success;410;204;80;0;SP;1;0,004519341;0,09008607;0,983322476;0,409034082;Rendering;1;1;PL;PL
Success;411;205;80;0;SP;1;0,004519341;0,09008607;0,960499409;0,519885071;Rendering;1;1;PL;PL
Success;412;;87;1;SP;1;0,003127749;0,24288004;1,047179319;0,466972396;Rendering;0;0;DE;DE
Failure;413;;87;2;SP;1;0,003127749;0,24288004;0,655145008;1;Rendering;0;0;DE;DE
Failure;414;;87;2;SP;1;0,003127749;0,24288004;0,655145008;1;Rendering;0;0;DE;DE
Success;415;206;87;2;SP;1;0,003127749;0,24288004;1,914358657;0,45947025;Rendering;0;0;DE;DE
Success;416;207;87;0;SP;1;0,003127749;0,24288004;0,910197576;1;Rendering;0;0;DE;DE
Success;417;;87;1;SP;1;0,003127749;0,24288004;1,190510836;0,600521101;Rendering;0;0;DE;DE
Failure;418;;83;1;Other;1;0,001451012;0,005698601;0,915113312;1;Oilseed;0;0;XS;Other
Success;419;208;66;0;SP;1;0,007122733;0,009992597;1,136065705;0,311368588;Rendering;1;1;NL;Other
Success;420;209;66;0;SP;1;0,007122733;0,009992597;1,040860382;1;Rendering;1;1;NL;Other
Success;421;210;66;0;SP;1;0,007122733;0,009992597;0,908082783;1;Rendering;1;1;NL;Other
Failure;422;;66;1;SP;1;0,007122733;0,009992597;0,959025301;1;Rendering;1;1;NL;Other
Failure;423;;66;1;SP;1;0,007122733;0,009992597;1,305426756;1;Rendering;1;1;NL;Other
Success;424;211;66;0;SP;1;0,007122733;0,009992597;1,123771958;0,256523433;Rendering;1;1;NL;Other
Success;425;;66;2;SP;1;0,007122733;0,009992597;1,028451923;1;Rendering;1;1;NL;Other
Failure;426;;88;1;Other;2;0;0,24288004;1;1;Oilseed;0;0;DE;DE
Failure;427;;89;1;Other;1;0;0,24288004;1,001653133;1;Rendering;0;0;DE;DE
Success;428;;15;1;SP;1;0,008587915;0,24288004;1,025028026;1;Oilseed;0;0;DE;DE
Success;429;212;15;6;SP;2;0,008587915;0,24288004;0,83959905;0,664416586;Oilseed;0;0;DE;DE
Failure;430;;15;1;SP;3;0,008587915;0,24288004;0,91949424;0,933877652;Oilseed;0;0;DE;DE
Failure;431;;15;1;SP;1;0,008587915;0,24288004;0,980124373;0,330211687;Oilseed;0;0;DE;DE
Failure;432;;15;50;SP;1;0,008587915;0,24288004;1,154365397;0,337522865;Oilseed;0;0;DE;DE
Success;433;213;90;0;SP;1;0,001491092;0,24288004;0,950665329;1;Oilseed;0;0;DE;DE
Success;434;214;90;0;SP;1;0,001491092;0,24288004;1,097334542;0,767272727;Oilseed;0;0;DE;DE
Success;435;215;91;92;SP;1;0,003701147;0,09008607;1,079905028;0,474435723;Rendering;0;0;PL;PL
Success;436;;91;2;SP;1;0,003701147;0,09008607;0,997822371;0,413539519;Rendering;0;0;PL;PL
Success;437;;91;1;SP;2;0,003701147;0,09008607;1,00068335;0,639369102;Rendering;0;0;PL;PL
Failure;438;;90;1;SP;1;0,001491092;0,24288004;1,011948767;1;Oilseed;0;0;DE;DE
Failure;439;;92;1;SP;1;0,008000777;0,149340658;1,03238079;0,425146417;Oilseed;1;0;FR;FR
Success;440;216;92;0;SP;1;0,008000777;0,149340658;0,814363301;1;Oilseed;1;0;FR;FR
Success;441;217;92;0;SP;1;0,008000777;0,149340658;1,213547607;0,6176369;Oilseed;1;0;FR;FR
Success;442;218;92;2;SP;2;0,008000777;0,149340658;0,984793746;0,792019347;Oilseed;1;0;FR;FR
Success;443;219;92;1;SP;1;0,008000777;0,149340658;1;1;Oilseed;1;0;FR;FR
Failure;444;;92;1;SP;1;0,008000777;0,149340658;1,067800727;0,389043895;Oilseed;1;0;FR;FR
Success;445;;92;1;SP;1;0,008000777;0,149340658;0,857032933;1;Oilseed;1;0;FR;FR
Success;446;220;90;0;SP;1;0,001491092;0,24288004;0,953582446;1;Oilseed;0;0;DE;DE
Failure;447;;93;1;SP;1;0,002612594;0,023240521;1,060101297;0,763052762;Rendering;1;1;NO;Other
Failure;448;;93;42;SP;1;0,002612594;0,023240521;1,044979912;0,371567044;Rendering;1;1;NO;Other
