Meldung;Kundenauftrag;Kunde;Bezugsmenge;Bezeichnung;Anzahl Angebote;Angebotserfolg;Umsatzanteil_Kunde;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;KNA1.Land;KNA1.Ist-Konzern;KNA1.KEY_ACCOUNT;KNA1.Umsatzanteil_Land;EQUI.Kundenbranche;Land_Neu
1080;510;9;0;Other;1;Success;0,019405607;1;1;FR;1;0;0,149340658;Rendering;FR
1081;;90;2;SP;1;Failure;0,001491092;0,794403901;1;DE;0;0;0,24288004;Oilseed;DE
1082;511;139;1;SP;1;Success;0,019538491;1;1;DK;1;0;0,032064225;Oilseed;Other
1083;;140;4;SP;1;Failure;0,006890758;1;1;AT;1;1;0,017650065;Oilseed;Other
1084;;140;4;Other;1;Success;0,006890758;0,935876485;1;AT;1;1;0,017650065;Oilseed;Other
1085;;135;1;SP;1;Failure;0,015985666;0,986826677;0,353866509;FR;1;0;0,149340658;Oilseed;FR
1086;512;167;98;SP;1;Success;0,000627537;0,781020813;0,799318241;DE;0;0;0,24288004;Oilseed;DE
1087;513;61;1;SP;2;Success;0,01832899;0,978887984;0,279906819;AU;1;1;0,021779501;Oilseed;Other
1088;;69;1;SP;1;Success;0,004435115;0,971305487;0,997638083;FR;1;1;0,149340658;Oilseed;FR
1089;;69;1;SP;1;Success;0,004435115;0,871269311;0,816475221;FR;1;1;0,149340658;Oilseed;FR
1090;;143;1;SP;1;Failure;0,000881389;0,558333333;1;CL;0;0;0,000881389;Oilseed;Other
1091;;126;1;SP;1;Failure;0,029408083;1,04752655;0,475842246;HU;1;0;0,049273194;Oilseed;Other
1092;514;9;0;Other;1;Success;0,019405607;1,014994594;1;FR;1;0;0,149340658;Rendering;FR
1093;515;9;0;Other;1;Success;0,019405607;1,008795878;1;FR;1;0;0,149340658;Rendering;FR
1094;516;34;0;Other;1;Success;0,032574028;1,001717717;0,991619788;RU;0;0;0,037934649;Oilseed;RU
1095;517;121;0;SP;1;Success;0,013830641;0,879351532;1;DE;1;0;0,24288004;Oilseed;DE
1096;;100;1;SP;1;Failure;0,002854899;1,006218321;0,632400198;AU;0;0;0,021779501;Rendering;Other
1097;;34;2;Other;1;Failure;0,032574028;1,00971586;1;RU;0;0;0,037934649;Oilseed;RU
1098;;167;1;Other;1;Failure;0,000627537;1;1;DE;0;0;0,24288004;Oilseed;DE
1099;518;135;0;SP;1;Success;0,015985666;0,903832708;1;FR;1;0;0,149340658;Oilseed;FR
1100;519;50;1;SV;1;Success;0,00282042;1,037029345;0,803858521;DE;1;1;0,24288004;Rendering;DE
1101;520;76;1;SP;2;Success;0,003556921;1,010235392;0,330010945;DE;1;1;0,24288004;Rendering;DE
1102;;188;1;SP;1;Failure;7,46E-05;0,993073634;1;RU;1;1;0,037934649;Oilseed;RU
1103;;104;1;SP;1;Failure;0,000595611;0,977496325;0,248658363;AU;0;0;0,021779501;Oilseed;Other
1104;521;76;0;SP;1;Success;0,003556921;0,990684622;0,934285714;DE;1;1;0,24288004;Rendering;DE
1105;522;73;1;SP;1;Success;0,005132408;1,112550085;0,902358163;DE;1;1;0,24288004;Rendering;DE
1106;;72;1;SP;1;Success;0,011354609;1,354916303;0,525361518;FR;1;1;0,149340658;Rendering;FR
1107;523;135;1;SP;1;Success;0,015985666;1,273490533;1;FR;1;0;0,149340658;Oilseed;FR
1108;;135;1;SP;1;Failure;0,015985666;0,995216794;0,923626268;FR;1;0;0,149340658;Oilseed;FR
1109;524;48;1;EP;2;Success;0,001542755;0,716666337;1;IL;0;0;0,001542755;Rendering;Other
1110;;34;54;SP;1;Failure;0,032574028;1,01105034;0,587675611;RU;0;0;0,037934649;Oilseed;RU
1111;;36;1;SP;1;Failure;0,006161744;1,042039299;0,385103351;CY;0;0;0,006161744;Oilseed;Other
1112;;36;1;SP;1;Failure;0,006161744;1,111963299;0,986827936;CY;0;0;0,006161744;Oilseed;Other
1113;;34;1;SP;1;Failure;0,032574028;1,189322723;0,536743516;RU;0;0;0,037934649;Oilseed;RU
1114;525;78;1;SP;1;Success;0,003002838;1,092633767;1;DE;0;0;0,24288004;Rendering;DE
1115;526;61;0;SP;1;Success;0,01832899;0,975073518;1;AU;1;1;0,021779501;Oilseed;Other
1116;;25;1;SP;1;Failure;0,002652777;1,071926555;1;US;0;0;0,031120862;Oilseed;US
1117;;1;300;SP;1;Failure;0,000935757;0,957149411;0,714934181;SG;0;0;0,000935757;Oilseed;Other
1118;;36;54;SP;1;Failure;0,006161744;1,024944816;0,284112973;CY;0;0;0,006161744;Oilseed;Other
1119;;62;36;SP;1;Failure;0,008667771;0,870335663;0,297470984;DE;0;0;0,24288004;Oilseed;DE
1120;527;195;0;SP;1;Success;0,000595611;0,549335401;1;AU;0;0;0,021779501;Oilseed;Other
1121;;2;1;SV;1;Failure;0,005747758;1,08822021;1;SE;1;0;0,005747758;Oilseed;Other
1122;;85;1;SV;1;Success;0,002306495;1,068379562;0,717247013;DE;0;0;0,24288004;Rendering;DE
1123;;5;7;SP;1;Success;0,009883245;0,887291322;0,602696327;HR;0;0;0,014651249;Rendering;Other
1124;;196;1;SP;1;Failure;0;1,059767156;1;KZ;0;0;0,016697353;Oilseed;Other
1125;;78;1;SP;1;Success;0,003002838;1,10629412;1;DE;0;0;0,24288004;Rendering;DE
1126;;139;48;SP;1;Failure;0,019538491;0,918165481;0,627223049;DK;1;0;0,032064225;Oilseed;Other
1127;528;135;0;SP;1;Success;0,015985666;0,787139341;1;FR;1;0;0,149340658;Oilseed;FR
1128;;51;2;EP;1;Failure;0,002334623;0,885004172;0,64465;EG;0;0;0,00237385;Rendering;Other
1129;;139;168;SP;1;Success;0,019538491;0,912177324;0,511865155;DK;1;0;0,032064225;Oilseed;Other
1130;;9;1;Other;1;Failure;0,019405607;1,452111875;0,387962805;FR;1;0;0,149340658;Rendering;FR
1131;;9;1;Other;1;Failure;0,019405607;1,711758269;0,683157065;FR;1;0;0,149340658;Rendering;FR
1132;;135;1;SP;1;Success;0,015985666;0,799691443;1;FR;1;0;0,149340658;Oilseed;FR
1133;529;90;0;SP;1;Success;0,001491092;0,869447409;0,460806363;DE;0;0;0,24288004;Oilseed;DE
1134;;36;1;SP;2;Failure;0,006161744;0,804762023;0,960219584;CY;0;0;0,006161744;Oilseed;Other
1135;;133;160;SP;1;Success;0,008735329;0,980690406;0,670403221;FI;0;0;0,008735329;Oilseed;Other
1136;530;108;3;SP;1;Success;0,025499469;1,149978387;1;DE;0;0;0,24288004;Oilseed;DE
1137;531;108;1;SP;1;Success;0,025499469;1,465375514;1;DE;0;0;0,24288004;Oilseed;DE
1138;;11;1;Other;1;Failure;7,15E-05;0,975869566;1;FR;0;0;0,149340658;Rendering;FR
1139;;25;1;SP;1;Failure;0,002652777;0,986889664;1;US;0;0;0,031120862;Oilseed;US
1140;532;173;1;Other;4;Success;0,002944408;1,107197689;1;PL;1;1;0,09008607;Oilseed;PL
1141;;83;1;SP;1;Failure;0,001451012;1,032333112;0,357555453;XS;0;0;0,005698601;Oilseed;Other
1142;;15;2;SP;1;Failure;0,008587915;0,898230854;0,904907975;DE;0;0;0,24288004;Oilseed;DE
1143;533;15;2;SP;1;Success;0,008587915;1,057597476;0,664747564;DE;0;0;0,24288004;Oilseed;DE
1144;;47;2;EP;1;Failure;0;0,882604744;1;IL;0;0;0,001542755;Rendering;Other
1145;534;48;1;EP;2;Success;0,001542755;0,937917128;0,713773341;IL;0;0;0,001542755;Rendering;Other
1146;;36;2;SP;1;Failure;0,006161744;1;1;CY;0;0;0,006161744;Oilseed;Other
1147;535;61;2;SP;1;Success;0,01832899;0,73510871;0,895939117;AU;1;1;0,021779501;Oilseed;Other
1148;536;12;0;Other;1;Success;0,021882417;1,298522779;1;DE;1;1;0,24288004;Oilseed;DE
1149;;19;1;Other;1;Success;0,016754912;0,987632017;1;HU;1;1;0,049273194;Oilseed;Other
1150;537;5;1;SP;1;Success;0,009883245;0,8836978;0,503887015;HR;0;0;0,014651249;Rendering;Other
1151;538;68;1;SP;2;Success;0,004581255;0,976354128;0,448442231;DE;1;1;0,24288004;Rendering;DE
1152;539;9;0;Other;1;Success;0,019405607;1,010611744;1;FR;1;0;0,149340658;Rendering;FR
1153;540;12;30;SP;1;Success;0,021882417;1,104555551;0,522438044;DE;1;1;0,24288004;Oilseed;DE
